iter	Passed	Remaining
541	58113	49107
542	58218	48998
543	58324	48889
544	58429	48781
545	58532	48670
546	58636	48559
547	58741	48451
548	58846	48342
549	58951	48233
550	59058	48126
551	59163	48016
552	59272	47911
553	59376	47801
554	59484	47695
555	59595	47590
556	59698	47480
557	59806	47373
558	59910	47264
559	60020	47159
560	60129	47053
561	60236	46946
562	60343	46838
563	60449	46730
564	60556	46622
565	60662	46514
566	60770	46408
567	60877	46301
568	60984	46193
569	61092	46087
570	61203	45983
571	61309	45875
572	61417	45768
573	61522	45659
574	61631	45553
575	61739	45447
576	61846	45339
577	61952	45231
578	62059	45124
579	62173	45022
580	62285	44918
581	62392	44811
582	62499	44703
583	62603	44594
584	62708	44485
585	62814	44377
586	62920	44269
587	63028	44162
588	63137	44056
589	63243	43948
590	63349	43840
591	63455	43732
592	63565	43627
593	63674	43521
594	63782	43414
595	63888	43307
596	63994	43199
597	64108	43096
598	64254	43015
599	64370	42913
600	64477	42806
601	64585	42699
602	64691	42591
603	64809	42490
604	64914	42382
605	65019	42273
606	65128	42166
607	65234	42058
608	65341	41951
609	65445	41842
610	65555	41736
611	65668	41633
612	65779	41528
613	65887	41420
614	65993	41313
615	66102	41206
616	66210	41099
617	66318	40993
618	66430	40888
619	66540	40783
620	66649	40676
621	66756	40568
622	66864	40461
623	66981	40360
624	67091	40254
625	67199	40148
626	67312	40044
627	67425	39939
628	67534	39833
629	67640	39725
630	67748	39618
631	67858	39512
632	67966	39405
633	68076	39299
634	68184	39192
635	68289	39083
636	68397	38977
637	68507	38870
638	68615	38764
639	68721	38655
640	68829	38549
641	68937	38441
642	69044	38334
643	69154	38228
644	69260	38120
645	69367	38012
646	69473	37904
647	69584	37798
648	69690	37690
649	69797	37583
650	69902	37474
651	70008	37366
652	70115	37259
653	70223	37151
654	70328	37043
655	70433	36934
656	70540	36827
657	70647	36719
658	70754	36611
659	70860	36504
660	70969	36397
661	71076	36289
662	71183	36182
663	71289	36074
664	71396	35966
665	71505	35860
666	71615	35753
667	71720	35645
668	71829	35539
669	71938	35432
670	72048	35326
671	72157	35219
672	72264	35112
673	72371	35004
674	72481	34898
675	72590	34792
676	72695	34683
677	72799	34574
678	72905	34466
679	73011	34358
680	73120	34251
681	73223	34142
682	73325	34032
683	73431	33924
684	73536	33815
685	73641	33707
686	73746	33599
687	73853	33491
688	73956	33382
689	74063	33274
690	74172	33168
691	74276	33059
692	74380	32950
693	74486	32842
694	74593	32735
695	74698	32627
696	74805	32519
697	74937	32422
698	75069	32326
699	75179	32219
700	75284	32111
701	75392	32004
702	75500	31896
703	75609	31790
704	75716	31682
705	75821	31574
706	75925	31465
707	76029	31356
708	76143	31252
709	76249	31144
710	76354	31035
711	76458	30927
712	76563	30818
713	76668	30710
714	76769	30600
715	76870	30490
716	76973	30381
717	77078	30273
718	77184	30165
719	77288	30056
720	77396	29949
721	77498	29840
722	77604	29732
723	77710	29624
724	77816	29516
725	77921	29408
726	78028	29300
727	78133	29192
728	78237	29084
729	78342	28975
730	78442	28866
731	78545	28757
732	78651	28649
733	78755	28540
734	78858	28431
735	78960	28322
736	79063	28214
737	79167	28105
738	79275	27998
739	79378	27889
740	79483	27781
741	79591	27674
742	79697	27567
743	79804	27459
744	79908	27351
745	80014	27243
746	80119	27135
747	80223	27027
748	80325	26918
749	80436	26812
750	80541	26704
751	80646	26596
752	80749	26487
753	80851	26378
754	80956	26270
755	81061	26162
756	81167	26055
757	81271	25946
758	81376	25838
759	81481	25730
760	81587	25623
761	81694	25516
762	81799	25408
763	81902	25299
764	82007	25191
765	82114	25084
766	82220	24977
767	82325	24869
768	82431	24761
769	82538	24654
770	82644	24546
771	82750	24439
772	82858	24332
773	82963	24224
774	83069	24116
775	83173	24008
776	83276	23900
777	83381	23792
778	83486	23684
779	83592	23577
780	83699	23470
781	83804	23362
782	83910	23254
783	84017	23147
784	84125	23040
785	84232	22933
786	84336	22825
787	84439	22717
788	84543	22609
789	84648	22501
790	84749	22392
791	84851	22284
792	84951	22175
793	85054	22067
794	85155	21958
795	85258	21850
796	85362	21742
797	85465	21634
798	85571	21526
799	85709	21427
800	85838	21325
801	85939	21217
802	86044	21109
803	86157	21003
804	86261	20895
805	86364	20787
806	86466	20679
807	86570	20571
808	86674	20463
809	86774	20354
810	86876	20246
811	86978	20137
812	87083	20030
813	87183	19921
814	87286	19813
815	87392	19706
816	87499	19599
817	87604	19491
818	87706	19383
819	87809	19275
820	87914	19167
821	88024	19061
822	88130	18953
823	88231	18845
824	88334	18737
825	88436	18629
826	88540	18521
827	88644	18414
828	88747	18306
829	88854	18199
830	88958	18091
831	89063	17983
832	89167	17876
833	89272	17768
834	89376	17661
835	89478	17553
836	89582	17445
837	89692	17339
838	89797	17231
839	89900	17123
840	90003	17016
841	90109	16908
842	90214	16801
843	90317	16693
844	90419	16585
845	90525	16478
846	90628	16370
847	90732	16263
848	90835	16155
849	90936	16047
850	91044	15940
851	91154	15834
852	91261	15727
853	91368	15620
854	91473	15513
855	91581	15406
856	91687	15299
857	91794	15192
858	91898	15084
859	92003	14977
860	92110	14870
861	92211	14762
862	92313	14654
863	92422	14547
864	92527	14440
865	92634	14333
866	92738	14226
867	92842	14118
868	92944	14011
869	93050	13904
870	93162	13797
871	93268	13690
872	93372	13583
873	93477	13476
874	93581	13368
875	93685	13261
876	93789	13154
877	93893	13046
878	93997	12939
879	94104	12832
880	94209	12725
881	94313	12617
882	94417	12510
883	94517	12402
884	94622	12295
885	94723	12187
886	94827	12080
887	94932	11973
888	95035	11866
889	95140	11758
890	95242	11651
891	95345	11544
892	95450	11436
893	95554	11329
894	95658	11222
895	95767	11115
896	95869	11008
897	95972	10901
898	96079	10794
899	96200	10688
900	96359	10587
901	96467	10480
902	96577	10374
903	96685	10267
904	96795	10160
905	96905	10054
906	97016	9947
907	97124	9840
908	97230	9733
909	97337	9626
910	97444	9519
911	97550	9412
912	97659	9305
913	97768	9199
914	97875	9092
915	97982	8985
916	98091	8878
917	98197	8771
918	98311	8665
919	98420	8558
920	98525	8451
921	98633	8344
922	98743	8237
923	98850	8130
924	98954	8023
925	99060	7916
926	99165	7809
927	99270	7702
928	99373	7594
929	99480	7487
930	99588	7380
931	99701	7274
932	99807	7167
933	99914	7060
934	100022	6953
935	100130	6846
936	100237	6739
937	100345	6632
938	100453	6525
939	100561	6418
940	100663	6311
941	100769	6204
942	100873	6097
943	100978	5990
944	101082	5883
945	101186	5775
946	101290	5668
947	101397	5561
948	101506	5455
949	101614	5348
950	101720	5241
951	101823	5133
952	101927	5026
953	102031	4919
954	102138	4812
955	102242	4705
956	102348	4598
957	102453	4491
958	102557	4384
959	102662	4277
960	102769	4170
961	102878	4063
962	102982	3956
963	103089	3849
964	103196	3742
965	103301	3635
966	103411	3529
967	103524	3422
968	103632	3315
969	103738	3208
970	103846	3101
971	103952	2994
972	104060	2887
973	104167	2780
974	104272	2673
975	104379	2566
976	104484	2459
977	104590	2352
978	104691	2245
979	104796	2138
980	104902	2031
981	105006	1924
982	105114	1817
983	105219	1710
984	105325	1603
985	105430	1496
986	105539	1390
987	105647	1283
988	105753	1176
989	105858	1069
990	105960	962
991	106069	855
992	106179	748
993	106283	641
994	106388	534
995	106495	427
996	106600	320
997	106722	213
998	106871	106
999	106976	0
