iter	RMSE
485	1782846.448
486	1782225.895
487	1780735.331
488	1780041.721
489	1779338.384
490	1778387.134
491	1777476.696
492	1776606.685
493	1776082.536
494	1775254.179
495	1774648.043
496	1773977.039
497	1773192.592
498	1772435.958
499	1771747.077
500	1770554.336
501	1769671.868
502	1769032.252
503	1768333.869
504	1767713.548
505	1767254.779
506	1766663.297
507	1765958.861
508	1765131.54
509	1764583.263
510	1763943.183
511	1763538.338
512	1763087.484
513	1762446.619
514	1761227.729
515	1760722.517
516	1760029.326
517	1759440.059
518	1758754.844
519	1757953.311
520	1757469.359
521	1756750.163
522	1755970.686
523	1755559.615
524	1754869.232
525	1754283.798
526	1753378.761
527	1752829.775
528	1752272.248
529	1751424.2
530	1750231.979
531	1749609.431
532	1749040.801
533	1748618.923
534	1748142.622
535	1746852.341
536	1746257.915
537	1745717.727
538	1745353.857
539	1744875.941
540	1744128.816
541	1742982.882
542	1742383.544
543	1741553.489
544	1741138.474
545	1740207.682
546	1739564.503
547	1738717.8
548	1738207.601
549	1737589.908
550	1736628.143
551	1735966.517
552	1735008.317
553	1734286.137
554	1733875.497
555	1733204.729
556	1732719.135
557	1731918.787
558	1731478.094
559	1731009.484
560	1730520.487
561	1729619.104
562	1729185.787
563	1728653.588
564	1727517.801
565	1727263.314
566	1726234.363
567	1725816.799
568	1725121.151
569	1724287.744
570	1723286.264
571	1722681.93
572	1722114.201
573	1721301.762
574	1720551.288
575	1719811.364
576	1719196.169
577	1718611.42
578	1718169.1
579	1717248.095
580	1716433.801
581	1715664.62
582	1715124.413
583	1714443.951
584	1713819.423
585	1713315.423
586	1712769.838
587	1711848.671
588	1711119.654
589	1710809.605
590	1710155.629
591	1709642.798
592	1709029.756
593	1708391.963
594	1707664.168
595	1707107.875
596	1706289.642
597	1705998.38
598	1705633.857
599	1705201.847
600	1704370.345
601	1703661.821
602	1703308.258
603	1702771.024
604	1702254.946
605	1701571.928
606	1700847.729
607	1700393.774
608	1699514.291
609	1698792.717
610	1698311.094
611	1697094.707
612	1696390.931
613	1695742.521
614	1694858.481
615	1694107.85
616	1693728.811
617	1692902.697
618	1692434.986
619	1691914.23
620	1691034.086
621	1690591.195
622	1690245.535
623	1689342.25
624	1688901.463
625	1688293.211
626	1687790.846
627	1686680.098
628	1685922.414
629	1685458.704
630	1684860.292
631	1684412.94
632	1683876.059
633	1683051.255
634	1682664.593
635	1681988.413
636	1681455.381
637	1680498.643
638	1679932.245
639	1679434.068
640	1678697.253
641	1678152.78
642	1677691.776
643	1677249.53
644	1676727.542
645	1676153.5
646	1675519.977
647	1675077.128
648	1674466.327
649	1673707.732
650	1673395.5
651	1672894.979
652	1672413.173
653	1671714.431
654	1671214.205
655	1670930.843
656	1670225.363
657	1669843.701
658	1669112.448
659	1668719.168
660	1668172.775
661	1667493.272
662	1667133.854
663	1666746.103
664	1665981.257
665	1665606.156
666	1664993.669
667	1664580.604
668	1664140.249
669	1663453.593
670	1662613.077
671	1662274.258
672	1661851.134
673	1661445.921
674	1660810.757
675	1660310.531
676	1659791.269
677	1659534.993
678	1659137.96
679	1658446.732
680	1657763.461
681	1657021.426
682	1656641.216
683	1655979.119
684	1655128.41
685	1654601.493
686	1654065.652
687	1653398.688
688	1652837.501
689	1652167.08
690	1651418.522
691	1650998.686
692	1650370.372
693	1649881.687
694	1649463.947
695	1649040.201
696	1648519.992
697	1648135.697
698	1647697.244
699	1646956.395
700	1646361.102
701	1646016.704
702	1645722.449
703	1645398.259
704	1644908.168
705	1644311.871
706	1643940.666
707	1643304.395
708	1642459.534
709	1642112.448
710	1641905.136
711	1641432.604
712	1640713.587
713	1640344.164
714	1639776.231
715	1639396.959
716	1638961.029
717	1638128.216
718	1637584.599
719	1637007.841
720	1636318.914
721	1635742.668
722	1634981.432
723	1634192.986
724	1633671.457
725	1633285.311
726	1632607.721
727	1632208.108
728	1631581.421
729	1630971.057
730	1630488.008
731	1629490.275
732	1629018.086
733	1628215.875
734	1627422.086
735	1626901.974
736	1626458.656
737	1625944.299
738	1625193.32
739	1624560.429
740	1624217.11
741	1623515.251
742	1623060.478
743	1622421.025
744	1621926.736
745	1621127.296
746	1620573.958
747	1620200.835
748	1619714.061
749	1618873.522
750	1618323.199
751	1617534.204
752	1617220.491
753	1616879.99
754	1616088.677
755	1615393.773
756	1614884.907
757	1614560.169
758	1614175.197
759	1613585.134
760	1613032.841
761	1612568.961
762	1611787.034
763	1611024.973
764	1610189.096
765	1609805.506
766	1609203.927
767	1608721.824
768	1607952.596
769	1607415.43
770	1606978.126
771	1606430.718
772	1605966.416
773	1605111.296
774	1604756.669
775	1604343.992
776	1604091.054
777	1603447.601
778	1602689.871
779	1602139.178
780	1601488.774
781	1601098.274
782	1600536.266
783	1600259.431
784	1599754.246
785	1599089.288
786	1598471.673
787	1598059.041
788	1597224.117
789	1596996.36
790	1596285.178
791	1595436.962
792	1594980.823
793	1594560.847
794	1594065.836
795	1593641.089
796	1593339.595
797	1592927.809
798	1592705.162
799	1592554.303
800	1591937.773
801	1591379.626
802	1590517.442
803	1590056.447
804	1589648.013
805	1589266.557
806	1588738.85
807	1588241.073
808	1587915.11
809	1587572.501
810	1587008.638
811	1586398.125
812	1586158.742
813	1585794.767
814	1585521.27
815	1584931.152
816	1584517.594
817	1583856.13
818	1583370.652
819	1582998.174
820	1582392.376
821	1582018.527
822	1581682.578
823	1580877.155
824	1580590.268
825	1580294.74
826	1579477.696
827	1578691.939
828	1578044.369
829	1577338.53
830	1576663.134
831	1576078.106
832	1575649.176
833	1575261.938
834	1574884.068
835	1574391.524
836	1573918.328
837	1573455.384
838	1572862.062
839	1572363.543
840	1571753.791
841	1571414.326
842	1571044.63
843	1570617.374
844	1570163.95
845	1569761.117
846	1569052.647
847	1568439.993
848	1568099.885
849	1567357.532
850	1566659.65
851	1566050.303
852	1565630.851
853	1565123.859
854	1564719.272
855	1564119.122
856	1563727.406
857	1563271.755
858	1562854.236
859	1562353.9
860	1561968.553
861	1561700.281
862	1561025.305
863	1560384.448
864	1559913.138
865	1559545.71
866	1559116.939
867	1558758.647
868	1558207.286
869	1557712.655
870	1557064.26
871	1556490.03
872	1555903.148
873	1555480.011
874	1555061.547
875	1554538.71
876	1554021.624
877	1553407.222
878	1553025.785
879	1552540.004
880	1552186.703
881	1551792.896
882	1551186.845
883	1550837.512
884	1550113.466
885	1549763.378
886	1549437.35
887	1548652.407
888	1547966.733
889	1547701.726
890	1547299.851
891	1546977.752
892	1546598.457
893	1546290.398
894	1545667.12
895	1545286.766
896	1544972.548
897	1544520.949
898	1544067.687
899	1543501.775
900	1542926.809
901	1542620.178
902	1541963.21
903	1541553.42
904	1540830.31
905	1540531.415
906	1539850.669
907	1539255.718
908	1538700.634
909	1538308.099
910	1537843.167
911	1537575.493
912	1537152.379
913	1536587.316
914	1535908.616
915	1535322.882
916	1534793.601
917	1534426.531
918	1533949.386
919	1533640.559
920	1533120.94
921	1532603.551
922	1531820.24
923	1531404.762
924	1531174.557
925	1530473.909
926	1530073.917
927	1529548.473
928	1529302.977
929	1528881.673
930	1528391.821
931	1528161.812
932	1527648.305
933	1527374.616
934	1527023.357
935	1526517.367
936	1526101.265
937	1525605.515
938	1525133.742
939	1524398.861
940	1524021.561
941	1523474.687
942	1522963.797
943	1522522.706
944	1522166.572
945	1521719.272
946	1521221.622
947	1520679.906
948	1520252.113
949	1519719.813
950	1518861.934
951	1518547.763
952	1517963.797
953	1517551.38
954	1517205.523
955	1516660.787
956	1516061.046
957	1515535.162
958	1515140.556
959	1514809.605
960	1514450.721
961	1514020.855
962	1513602.51
963	1513215.844
964	1512802.283
965	1512366.745
966	1512132.129
967	1511572.132
968	1511045.033
969	1510517.035
970	1509782.687
971	1509428.977
972	1509137.826
973	1508707.906
974	1508404.719
975	1507897.443
976	1507582.347
977	1507117.18
978	1506747.225
979	1506320.611
980	1505978.632
981	1505599.047
982	1504844.504
983	1504401.894
984	1504020.261
985	1503763.788
986	1503489.07
987	1503158.003
988	1502511.935
989	1502054.548
990	1501604.254
991	1501319.756
992	1500519.471
993	1499848.449
994	1499146.73
995	1498977.318
996	1498670.155
997	1498270.853
998	1497904.615
999	1497179.379
